# Phases 	 model 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
-0.6000000000 	 -13.4840184067 	 -15.5820893377 	 -10.9194651826 	 -17.6033133265 	 -7.4074591124 	 -19.0037805393 	 -4.3790421938
-0.5998799880 	 -13.4711178523 	 -15.5712340440 	 -10.9034008824 	 -17.5930398305 	 -7.3933414328 	 -18.9975312766 	 -4.3644905351
-0.5997599760 	 -13.4582862405 	 -15.5596875349 	 -10.8903437410 	 -17.5827577618 	 -7.3794256340 	 -18.9912740857 	 -4.3499413836
-0.5996399640 	 -13.4457612854 	 -15.5495933875 	 -10.8757114725 	 -17.5724671224 	 -7.3653001065 	 -18.9850089657 	 -4.3353947286
-0.5995199520 	 -13.4346755323 	 -15.5389114358 	 -10.8620159245 	 -17.5661333672 	 -7.3511747090 	 -18.9787359156 	 -4.3208505746
-0.5993999400 	 -13.4222923273 	 -15.5295081986 	 -10.8483943931 	 -17.5604802520 	 -7.3370494168 	 -18.9724549346 	 -4.3063089112
-0.5992799280 	 -13.4086508841 	 -15.5173067817 	 -10.8338236661 	 -17.5548192453 	 -7.3229242489 	 -18.9661660153 	 -4.2917697731
-0.5991599160 	 -13.3958992760 	 -15.5050891584 	 -10.8204242216 	 -17.5444319384 	 -7.3080376323 	 -18.9598691698 	 -4.2772331498
-0.5990399040 	 -13.3827018341 	 -15.4937616478 	 -10.8084634861 	 -17.5299535195 	 -7.2908503084 	 -18.9535643907 	 -4.2626990457
-0.5989198920 	 -13.3695424559 	 -15.4827333612 	 -10.7942511044 	 -17.5154644411 	 -7.2736626580 	 -18.9472516771 	 -4.2481674502
-0.5987998800 	 -13.3566733483 	 -15.4711164682 	 -10.7823083558 	 -17.5058851104 	 -7.2564746745 	 -18.9409310281 	 -4.2336383983
-0.5986798680 	 -13.3444877532 	 -15.4605348064 	 -10.7686716152 	 -17.4956198206 	 -7.2392863513 	 -18.9346024428 	 -4.2173944451
-0.5985598560 	 -13.3327360653 	 -15.4487852324 	 -10.7547737882 	 -17.4816909183 	 -7.2237752310 	 -18.9282659203 	 -4.2000026609
-0.5984398440 	 -13.3206055666 	 -15.4362525621 	 -10.7414546552 	 -17.4691313552 	 -7.2086262749 	 -18.9219214531 	 -4.1826144216
-0.5983198320 	 -13.3074882040 	 -15.4249797786 	 -10.7254117726 	 -17.4632471398 	 -7.1934769764 	 -18.9113342248 	 -4.1652297348
-0.5981998200 	 -13.2955097386 	 -15.4143264038 	 -10.7117276501 	 -17.4573566153 	 -7.1783273748 	 -18.9000743986 	 -4.1478486080
-0.5980798080 	 -13.2838688117 	 -15.4049102743 	 -10.6991210112 	 -17.4488742679 	 -7.1631774617 	 -18.8888041788 	 -4.1304710307
-0.5979597960 	 -13.2717329084 	 -15.3945399677 	 -10.6857761678 	 -17.4384184081 	 -7.1486686819 	 -18.8775235791 	 -4.1130970468
-0.5978397840 	 -13.2587095233 	 -15.3835095047 	 -10.6718033962 	 -17.4268056084 	 -7.1377058953 	 -18.8662326017 	 -4.0957266456
-0.5977197720 	 -13.2465077250 	 -15.3726303951 	 -10.6581372621 	 -17.4151837368 	 -7.1230650564 	 -18.8576624758 	 -4.0798743060
-0.5975997600 	 -13.2328949378 	 -15.3609780889 	 -10.6438470118 	 -17.4035527843 	 -7.1080993901 	 -18.8520940767 	 -4.0654159874
-0.5974797480 	 -13.2209466491 	 -15.3508007729 	 -10.6298634124 	 -17.3919127418 	 -7.0931340225 	 -18.8439103185 	 -4.0509602327
-0.5973597360 	 -13.2077368170 	 -15.3389501219 	 -10.6158762171 	 -17.3803274666 	 -7.0781689277 	 -18.8325590073 	 -4.0365070765
-0.5972397240 	 -13.1939149913 	 -15.3267290721 	 -10.6018854326 	 -17.3684804074 	 -7.0632041424 	 -18.8211980880 	 -4.0220564929
