# Time Residual Error Instrument 
2458872.0164514272 -0.4993611669 5.8730650590 HPF 
2458893.9459689846 4.8161229074 17.3829580113 HPF 
2458894.9487395976 31.2155933603 11.5910031983 HPF 
2458905.9132500323 -15.9782035032 15.7243475134 HPF 
2458918.8788808924 -17.6523637898 28.0745505856 HPF 
2458925.8485978870 9.2731682508 18.3935282433 HPF 
2458928.8675804213 16.5607039376 9.7458357228 HPF 
2458950.8007870140 -2.3540662979 14.5036284342 HPF 
2458973.9616460185 3.4454049493 7.1373821993 HPF 
2459002.8867292693 -1.9548368066 9.8238801810 HPF 
2459032.7918772888 -5.3501052933 6.3727471915 HPF 
2459036.7859558472 9.5852378227 6.1745463270 HPF 
2459065.7022815291 -4.3628334671 5.2847407201 HPF 
2459084.6501677865 -0.4059138034 4.9318871548 HPF 
2459090.6362277200 3.6617422380 4.9340742219 HPF 
2459091.6271613287 5.5048320532 5.1525956331 HPF 
2459095.6225088304 12.7517113448 7.0877487352 HPF 
2459237.0016899970 -7.2920719980 6.2804004700 HPF 
2459245.9850697857 0.6740607985 6.5168274969 HPF 
2459246.9848901434 -0.8055693872 5.0217790262 HPF 
2459252.9597098902 -8.4012041997 9.5987274578 HPF 
2459268.9169956404 -9.7406614418 6.7170222724 HPF 
2459269.9146091701 -11.9694229801 9.1944241416 HPF 
2459270.9169308306 -7.5901472698 8.1569490343 HPF 
2459275.9013822209 6.1950955296 7.4671517576 HPF 
2459277.8900878266 -13.3604853895 7.5851844654 HPF 
2459287.8673033426 -6.4486107478 9.7071307758 HPF 
2459289.8606099579 -2.4036745947 8.6963195870 HPF 
2459292.8520496590 2.0847618815 4.8971728444 HPF 
2459293.8490092121 -2.2055330555 5.0388576008 HPF 
2459294.8454053444 6.8178876897 7.6165565054 HPF 
2459300.8235077988 -2.0389062875 9.3621600891 HPF 
2459306.8151077358 -0.2661219325 7.6309149825 HPF 
2459324.7672066623 -1.1129017358 5.9480519243 HPF 
2459327.7642171560 9.2046544816 9.8095044546 HPF 
2459329.7622504570 -0.5632657101 7.4213096256 HPF 
2459329.9841543389 -6.5395102090 6.7573094226 HPF 
2459335.9669364849 -1.4120325663 6.2726562899 HPF 
2459342.7168231923 8.9382149065 11.2764781470 HPF 
2459342.9493151959 18.6540716272 8.5057668935 HPF 
2459343.9591653086 -29.9673132043 17.8106425033 HPF 
2459345.7148788683 2.8643998916 7.9951956454 HPF 
2459348.9386818926 -6.9500058503 5.4331122417 HPF 
2459352.6913045510 -6.5028612053 5.8524872854 HPF 
2459353.6859307261 -15.6261229197 6.2521203283 HPF 
2459360.6718458831 0.8297616416 7.9615916151 HPF 
2459368.8627566174 3.5785089512 10.9370013066 HPF 
2459369.8700871291 -0.3096939901 6.6235329008 HPF 
2459385.8258477412 7.1729737408 8.3946928706 HPF 
2459404.7793969298 -0.6770859090 5.1592424325 HPF 
2459405.7825727239 -2.8068103444 4.9281103501 HPF 
2459431.7066793488 0.6873223104 5.5703008709 HPF 
2459449.6567067318 3.8578597345 5.3308067288 HPF 
2459451.6486544330 8.8136979483 6.1876403215 HPF 
2459461.6115047322 12.1768794097 8.2644279561 HPF 
2459466.6055554226 15.4014914347 7.2155829508 HPF 
2459469.6096134535 -3.1317396015 5.9871002124 HPF 
2459472.6040293290 -3.3198364481 6.2704517160 HPF 
2459593.0322066168 10.3876491967 8.3393898183 HPF 
2459602.0109558757 2.8945065210 6.0154752938 HPF 
2459602.9957202110 3.2047379650 7.5755083928 HPF 
2459603.9972003298 -11.0943181286 7.0770499414 HPF 
2459605.9996362207 9.8480926494 6.2659979078 HPF 
2459606.9854479274 -8.8681853095 7.6439559368 HPF 
2459625.9390613530 -8.5386567957 6.4757023713 HPF 
2459679.7835500245 9.1120999202 8.0579431437 HPF 
2459682.7759945160 2.5472824721 13.6860042077 HPF 
