# Time 	 GP Component 	 Full model (GP + Keplerian) 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
2458867.0164514272 	 0.0000000000 	 -7.5308723853 	 -12.1264911703 	 -2.6206313956 	 -16.1575365982 	 2.8994096262 	 -18.6623238997 	 6.7925253379
2458867.2216566326 	 0.0000000000 	 -14.7387848098 	 -18.1262493768 	 -10.8006082946 	 -21.2546246448 	 -5.8594085837 	 -23.0388066645 	 -1.8151218762
2458867.4268618375 	 0.0000000000 	 -19.6695500778 	 -21.9583255888 	 -17.0577555179 	 -24.3233045960 	 -13.5190660571 	 -25.9334857741 	 -10.0634441350
2458867.6320670429 	 0.0000000000 	 -22.0255126219 	 -23.8688650076 	 -20.1972282112 	 -26.0082440375 	 -18.0851120961 	 -27.3727594040 	 -16.1384829740
2458867.8372722482 	 0.0000000000 	 -22.0485693198 	 -24.0132914709 	 -19.9152622579 	 -26.1393535222 	 -17.5816507744 	 -27.7113118721 	 -15.8784626060
2458868.0424774531 	 0.0000000000 	 -19.6479905205 	 -22.1959258602 	 -16.9364715483 	 -24.6591333098 	 -13.8379017220 	 -26.4227896820 	 -11.8735976857
2458868.2476826585 	 0.0000000000 	 -15.1914816735 	 -18.1891712140 	 -12.0347593290 	 -21.3149748829 	 -8.5761995783 	 -23.4133513734 	 -6.4804214319
2458868.4528878639 	 0.0000000000 	 -9.2157880048 	 -12.5217985267 	 -5.8615391026 	 -16.0803765159 	 -2.2278544531 	 -18.7563372925 	 0.0902534229
2458868.6580930687 	 0.0000000000 	 -2.3257223688 	 -5.7222940587 	 1.1783297956 	 -9.4836846932 	 4.7338490937 	 -12.1553473946 	 7.4528071613
2458868.8632982741 	 0.0000000000 	 4.9919038727 	 1.5770731947 	 8.4493655424 	 -2.1558744408 	 11.9215563408 	 -4.9677228341 	 14.6588291402
2458869.0685034795 	 0.0000000000 	 11.9800277087 	 8.6435222681 	 15.3064276773 	 5.0724928898 	 18.7275103282 	 2.3846940692 	 20.9771680906
2458869.2737086844 	 0.0000000000 	 17.9090387254 	 14.8336237806 	 20.9186581538 	 11.4577813122 	 24.0145803336 	 9.1430679623 	 26.1588171194
2458869.4789138897 	 0.0000000000 	 21.9735189924 	 19.3823238507 	 24.4924723874 	 16.4888588438 	 27.3095987429 	 14.3548789089 	 29.2306825011
2458869.6841190951 	 0.0000000000 	 23.4196795279 	 21.3537639246 	 25.5540070837 	 19.1053389870 	 28.0255240535 	 17.5241181489 	 29.6638455166
2458869.8893243000 	 0.0000000000 	 22.0094444503 	 19.6984753394 	 24.1451097282 	 16.7612482139 	 26.4649426685 	 14.6067017343 	 28.1550612697
2458870.0945295054 	 0.0000000000 	 17.6276707480 	 14.0955156091 	 20.5766022931 	 9.6638703589 	 23.3766080081 	 6.4416256130 	 25.2144264665
2458870.2997347107 	 0.0000000000 	 10.6375894005 	 5.9395532102 	 14.8029974746 	 0.7002855998 	 18.6359234667 	 -2.8694654606 	 21.1034612737
2458870.5049399156 	 0.0000000000 	 2.0663357059 	 -3.0483624805 	 7.0437604843 	 -8.1925922373 	 12.0582900329 	 -11.2924806076 	 15.1546447954
